TRELICA DE 72 BARRAS 
   20    1    2    1
    1    0    0    0       0.0       0.0     240.0
    2    0    0    0     120.0       0.0     240.0
    3    0    0    0     120.0     120.0     240.0
    4    0    0    0       0.0     120.0     240.0
    5    0    0    0       0.0       0.0     180.0  
    6    0    0    0     120.0       0.0     180.0
    7    0    0    0     120.0     120.0     180.0   
    8    0    0    0       0.0     120.0     180.0 
    9    0    0    0       0.0       0.0     120.0
   10    0    0    0     120.0       0.0     120.0
   11    0    0    0     120.0     120.0     120.0
   12    0    0    0       0.0     120.0     120.0
   13    0    0    0       0.0       0.0      60.0
   14    0    0    0     120.0       0.0      60.0
   15    0    0    0     120.0     120.0      60.0
   16    0    0    0       0.0     120.0      60.0
   17    1    1    1       0.0       0.0       0.0
   18    1    1    1     120.0       0.0       0.0
   19    1    1    1     120.0     120.0       0.0
   20    1    1    1       0.0     120.0       0.0
    1    3 
    1    1    5000.0
    1    2    5000.0
    1    3   -5000.0
    2    4
    1    3   -5000.0
    2    3   -5000.0
    3    3   -5000.0
    4    3   -5000.0
    1   72   72    0    0    0    0    0    0    0
    1 10000000.     0.161
    2 10000000.     0.161
    3 10000000.     0.161
    4 10000000.     0.161
    5 10000000.     0.557
    6 10000000.     0.557
    7 10000000.     0.557
    8 10000000.     0.557
    9 10000000.     0.557
   10 10000000.     0.557
   11 10000000.     0.557
   12 10000000.     0.557
   13 10000000.     0.377
   14 10000000.     0.377
   15 10000000.     0.377
   16 10000000.     0.377
   17 10000000.     0.506
   18 10000000.     0.506
   19 10000000.     0.611
   20 10000000.     0.611
   21 10000000.     0.611
   22 10000000.     0.611
   23 10000000.     0.532
   24 10000000.     0.532
   25 10000000.     0.532
   26 10000000.     0.532
   27 10000000.     0.532
   28 10000000.     0.532
   29 10000000.     0.532
   30 10000000.     0.532
   31 10000000.     0.100
   32 10000000.     0.100
   33 10000000.     0.100
   34 10000000.     0.100
   35 10000000.     0.100
   36 10000000.     0.100
   37 10000000.     1.246
   38 10000000.     1.246
   39 10000000.     1.246
   40 10000000.     1.246
   41 10000000.     0.524
   42 10000000.     0.524
   43 10000000.     0.524
   44 10000000.     0.524
   45 10000000.     0.524
   46 10000000.     0.524
   47 10000000.     0.524
   48 10000000.     0.524
   49 10000000.     0.100
   50 10000000.     0.100
   51 10000000.     0.100
   52 10000000.     0.100
   53 10000000.     0.100
   54 10000000.     0.100
   55 10000000.     1.818
   56 10000000.     1.818
   57 10000000.     1.818
   58 10000000.     1.818
   59 10000000.     0.524
   60 10000000.     0.524
   61 10000000.     0.524
   62 10000000.     0.524
   63 10000000.     0.524
   64 10000000.     0.524
   65 10000000.     0.524
   66 10000000.     0.524
   67 10000000.     0.100
   68 10000000.     0.100
   69 10000000.     0.100
   70 10000000.     0.100
   71 10000000.     0.100
   72 10000000.     0.100
    1    1    5    1    0
    2    2    6    2    0
    3    3    7    3    0
    4    4    8    4    0
    5    1    6    5    0
    6    2    5    6    0
    7    3    6    7    0
    8    2    7    8    0
    9    4    7    9    0
   10    3    8   10    0
   11    4    5   11    0
   12    1    8   12    0
   13    1    2   13    0
   14    2    3   14    0
   15    3    4   15    0
   16    4    1   16    0
   17    1    3   17    0
   18    2    4   18    0
   19    5    9   19    0
   20    6   10   20    0
   21    7   11   21    0
   22    8   12   22    0
   23    5   10   23    0 
   24    6    9   24    0
   25    7   10   25    0
   26    6   11   26    0
   27    8   11   27    0
   28    7   12   28    0
   29    8    9   29    0
   30    5   12   30    0
   31    5    6   31    0
   32    6    7   32    0
   33    7    8   33    0
   34    8    5   34    0
   35    5    7   35    0
   36    6    8   36    0
   37    9   13   37    0
   38   10   14   38    0
   39   11   15   39    0
   40   12   16   40    0
   41    9   14   41    0
   42   10   13   42    0
   43   11   14   43    0
   44   10   15   44    0
   45   12   15   45    0
   46   11   16   46    0
   47   12   13   47    0
   48    9   16   48    0
   49    9   10   49    0
   50   10   11   50    0
   51   11   12   51    0
   52   12    9   52    0
   53    9   11   53    0
   54   10   12   54    0
   55   13   17   55    0
   56   14   18   56    0
   57   15   19   57    0
   58   16   20   58    0
   59   13   18   59    0
   60   14   17   60    0
   61   15   18   61    0
   62   14   19   62    0
   63   16   19   63    0
   64   15   20   64    0
   65   16   17   65    0
   66   13   20   66    0
   67   13   14   67    0
   68   14   15   68    0
   69   15   16   69    0
   70   16   13   70    0
   71   13   15   71    0
   72   14   16   72    0
